TDEP,Cons,CAL,GR,LLD,LLS,RHOB,NPHI,PEF,DT,PHIF  (%),PHIf
2790,1,0.571,102.069,3038.6536,297.4923,2.629,0.043,2.992,53.0005,0.0304,0.0003
2790,1,0.571,102.069,3038.6536,297.4923,2.629,0.043,2.992,53.0005,0.0304,0.0003
2790.125,1,0.564,100.44,3301.3801,308.586,2.642,0.032,3.023,52.7046,0.0169,0.0002
2790.25,1,0.595,99.9724,2873.396,310.4678,2.654,0.029,2.889,52.7518,0.0115,0.0001
2790.375,1,0.6025,101.311,2502.6702,304.1921,2.659,0.0295,2.881,52.6108,0.0103,0.0001
2790.5,1,0.61,96.014,2131.9434,297.912,2.664,0.03,2.873,52.4699,0.0093,0.0001
2790.625,1,0.626,93.496,1241.5806,270.6067,2.655,0.015,2.869,52.4432,0.0057,0.0001
2790.75,1,0.66,96.969,1107.3192,268.5966,2.626,0.025,2.989,52.3414,0.0183,0.0002
2790.875,1,0.672,101.033,945.4354,262.94,2.662,0.035,3.013,52.0017,0.0121,0.0001
2791,1,0.687,102.532,694.054,244.0157,2.636,0.025,2.986,52.0083,0.0148,0.0001
2791.125,1,0.7065,100.59,658.3606,243.0426,2.625,0.031,3.03,52.2355,0.0228,0.0002
2791.25,1,0.726,100.606,622.6671,242.068,2.614,0.037,3.074,52.4627,0.0328,0.0003
2791.375,1,0.773,104.17,503.8571,244.201,2.607,0.031,3.073,52.2874,0.0312,0.0003
2791.5,1,0.788,105.295,450.4895,216.8406,2.595,0.038,3.062,53.2264,0.0449,0.0004
2791.625,1,0.835,104.41,479.2963,217.0868,2.625,0.034,3.01,53.762,0.025,0.0003
2791.75,1,0.885,100.174,488.7495,218.7491,2.618,0.037,2.955,54.2138,0.0308,0.0003
2791.875,1,0.935,98.173,498.2027,220.4158,2.611,0.04,2.9,54.6655,0.0373,0.0004
2792,1,1.075,97.4973,468.7781,215.4384,2.626,0.046,2.868,54.427,0.0347,0.0003
2792.125,1,1.152,97.6504,302.6042,175.6329,2.604,0.058,2.875,54.7503,0.0626,0.0006
2792.25,1,1.16,92.7094,298.021,175.8616,2.601,0.077,2.785,54.9667,0.0938,0.0009
2792.375,1,1.183,92.3894,465.143,210.3549,2.644,0.062,2.724,54.0995,0.04,0.0004
2792.5,1,1.1945,89.8164,569.4639,221.329,2.629,0.056,2.747,53.8315,0.0428,0.0004
2792.625,1,1.206,90.913,673.7851,232.3076,2.614,0.05,2.77,53.5634,0.0458,0.0005
2792.75,1,1.237,91.6114,879.1137,228.8831,2.632,0.056,2.893,54.0666,0.041,0.0004
2792.875,1,1.268,87.3184,760.0629,213.7535,2.635,0.053,2.819,53.6391,0.0363,0.0004
2793,1,1.307,89.9164,727.7023,215.6933,2.629,0.047,2.796,54.1482,0.034,0.0003
2793.125,1,1.427,87.1814,846.2545,209.4675,2.645,0.046,2.709,54.1564,0.0252,0.0003
2793.25,1,1.4675,90.3099,780.0373,198.105,2.645,0.056,2.7325,54.1105,0.0336,0.0003
2793.375,1,1.508,87.4195,713.8194,186.7048,2.645,0.066,2.756,54.0647,0.0435,0.0004
2793.5,1,1.601,89.1019,536.9664,168.4677,2.641,0.079,2.787,54.5046,0.0617,0.0006
2793.625,1,1.663,90.6924,394.5807,147.1612,2.635,0.072,2.807,54.063,0.0573,0.0006
2793.75,1,1.764,94.9034,380.6641,135.3016,2.639,0.089,2.71,53.7247,0.0775,0.0008
2793.875,1,1.8395,97.1339,430.8953,131.3984,2.6455,0.0835,2.7265,53.1281,0.0642,0.0006
2794,1,1.915,101.013,481.1272,127.472,2.652,0.078,2.743,52.5315,0.0524,0.0005
2794.125,1,2.127,99.3995,447.5414,123.4176,2.626,0.082,2.824,52.5628,0.0784,0.0008
2794.25,1,2.6,94.1817,521.129,127.0004,2.629,0.058,2.861,51.7795,0.045,0.0005
2794.375,1,2.019,92.0834,879.2197,133.7237,2.658,0.046,2.916,51.2237,0.0198,0.0002
2794.5,1,2.197,88.9797,1111.7214,135.0373,2.65,0.03,2.986,51.4206,0.0131,0.0001
2794.625,1,2.108,90.4547,1201.4808,126.9361,2.6495,0.0325,3.0135,51.4929,0.0146,0.0001
2794.75,1,2.019,89.785,1291.2386,118.8805,2.649,0.035,3.041,51.5651,0.0162,0.0002
2794.875,1,2.058,88.8957,1539.3453,111.0578,2.626,0.038,3.052,52.2266,0.0277,0.0003
